Item Name,Description,Category,Price
Plein Grain Bowl,"Roasted root vegetables, arugula, spinach pesto & pepitas",Tartines & Plein Bowls,$9.50
Jalapeno Chicken Bowl,"Grilled chicken, tomatillo, cilantro & jalapeno salsa",Tartines & Plein Bowls,$11.50
Al Pastor Bowl,"Grilled pork, pineapple, grilled onion, guajillo pepper, cilantro & salsa roja",Tartines & Plein Bowls,$11.50
Roasted Root Vegetables Tartine,"Spinach pesto, kale, avocado & pepitas served open-faced on sourdough",Tartines & Plein Bowls,$9.50
Savory Meatloaf Tartine,"Mashed potatoes, mushrooms, marsala gravy, arugula & balsamic",Tartines & Plein Bowls,$10.50
